x,T
0.4,273.05
1.1,272.9
2.5,272.55
5.0,271.95
8.0,271.35
13.0,269.55
15.0,269.15
17.6,268.15
20.4,266.65
23.9,264.15
28.6,261.15
31.0,259.15
33.5,257.15
37.3,253.15
41.3,248.15
43.1,245.15
44.1,243.15
45.1,241.15
47.5,235.15
